Home goals,Home shots,Home misses,Home blocks,Home Corsi,Away goals,Away shots,Away misses,Away blocks,Away Corsi
2,34,16,14,66,6,33,8,19,66
2,44,5,11,62,4,28,7,12,51
5,30,3,13,51,2,34,16,23,75
5,37,18,23,83,5,17,5,13,40
6,16,5,8,35,4,26,19,13,62
4,24,5,10,43,5,29,15,23,72
1,29,27,19,76,1,25,13,17,56
2,43,17,25,87,2,19,10,4,35
4,24,12,11,51,3,27,5,5,40
3,29,14,7,53,5,23,6,7,41
4,31,17,16,68,1,26,9,11,47
1,31,9,13,54,2,22,15,16,55
2,31,11,16,60,4,15,13,10,42
0,22,10,7,39,5,23,9,13,50
6,25,9,10,50,3,23,17,12,55
4,36,15,15,70,2,33,11,21,67
2,17,7,11,37,5,33,11,12,61
4,31,13,17,65,3,20,16,14,53
2,21,6,9,38,3,41,15,15,74
1,21,16,20,58,1,32,17,16,66
4,24,17,18,63,1,22,8,21,52
4,17,8,13,42,1,34,12,13,60
1,17,7,9,34,0,28,11,13,52
6,29,17,12,64,5,17,5,7,34
1,37,12,19,69,2,19,11,12,44
3,27,7,14,51,1,21,28,20,70
4,28,8,17,57,1,28,10,22,61
4,33,7,13,57,6,22,11,12,51
1,27,7,14,49,1,31,11,14,57
2,24,13,9,48,3,29,13,17,62
7,25,9,13,54,2,35,11,21,69
6,21,15,13,55,2,17,15,10,44
2,24,12,17,55,5,29,13,5,52
3,21,13,7,44,6,20,6,6,38
3,29,13,11,56,1,39,21,18,79
2,27,12,16,57,1,20,10,13,44
1,28,13,13,55,2,28,16,14,60
1,25,15,22,63,1,38,15,7,61
2,28,16,12,58,4,27,11,13,55
2,20,16,8,46,1,17,14,16,48
3,24,13,13,53,5,26,10,15,56
3,31,13,16,63,5,15,8,10,38
3,25,5,18,51,2,32,11,17,62
3,25,18,18,64,5,19,6,5,35
2,20,11,16,49,3,32,7,18,60
6,33,8,10,57,3,35,15,11,64
2,35,16,20,73,4,16,7,10,37
4,18,11,11,44,2,30,8,21,61
5,21,15,12,53,5,36,9,11,61
1,19,6,8,34,1,17,22,16,56
2,30,13,12,57,1,34,17,14,66
2,22,13,11,48,0,29,8,20,57
2,31,18,23,74,5,22,6,12,45
6,36,13,9,64,3,36,15,16,70
2,19,6,14,41,5,28,9,7,49
0,27,6,12,45,1,23,8,14,46
5,32,9,14,60,2,22,11,8,43
0,38,12,15,65,4,31,7,9,51
2,29,9,22,62,2,35,10,19,66
5,28,11,22,66,2,26,13,23,64
2,37,15,13,67,4,16,5,10,35
4,20,9,17,50,5,23,13,10,51
2,25,4,11,42,2,29,11,8,50
3,29,15,16,63,1,29,6,14,50
4,28,9,23,64,3,21,9,15,48
1,33,13,13,60,2,28,11,24,65
3,26,19,9,57,7,35,17,16,75
4,18,16,11,49,6,34,20,17,77
2,25,14,18,59,3,26,11,10,50
3,24,11,12,50,4,27,8,21,60
6,27,11,6,50,1,31,11,20,63
1,29,16,12,58,0,22,12,18,52
2,29,12,14,57,4,14,10,17,45
5,28,20,17,70,2,22,14,13,51
5,24,7,2,38,1,37,12,14,64
4,26,13,13,56,6,29,16,13,64
3,31,19,12,65,2,25,8,17,52
1,28,6,17,52,1,29,13,8,51
3,25,11,13,52,6,27,10,7,50
5,31,10,6,52,2,17,6,14,39
3,15,9,10,37,1,36,19,10,66
2,25,20,26,73,3,23,5,8,39
1,27,15,9,52,1,28,9,7,45
2,34,8,22,66,1,29,11,16,57
1,30,8,22,61,4,27,7,6,44
3,22,15,22,62,5,22,10,12,49
1,31,15,15,62,4,21,14,19,58
2,35,16,9,62,1,22,10,12,45
3,33,17,15,68,4,30,13,13,60
5,24,4,11,44,1,41,18,17,77
3,38,9,14,64,3,30,11,18,62
1,28,18,17,64,0,26,13,14,53
3,28,10,16,57,2,24,7,17,50
6,18,10,8,42,1,25,8,18,52
3,26,11,20,60,1,30,15,10,56
3,22,12,13,50,2,22,12,12,48
1,35,15,16,67,2,21,8,8,39
1,38,9,19,67,3,29,7,12,51
3,27,14,10,54,6,22,9,12,49
1,31,9,22,63,2,32,7,14,55
5,31,5,8,49,3,27,8,12,50
2,34,17,12,65,1,26,10,14,51
0,21,8,6,35,4,32,8,11,55
3,24,9,16,52,2,30,13,19,64
1,39,19,21,80,4,18,7,13,42
2,32,14,24,72,1,17,12,12,42
1,24,13,18,56,3,19,10,10,42
4,29,9,12,54,2,29,10,32,73
4,29,10,10,53,1,27,11,10,49
3,22,16,13,54,3,28,17,16,64
5,24,7,7,43,0,28,9,12,49
2,36,21,26,85,3,26,14,18,61
4,32,8,20,64,1,31,9,15,56
3,24,13,11,51,5,23,14,19,61
4,34,10,10,58,6,20,14,14,54
2,33,10,12,57,0,23,11,16,50
3,20,10,15,48,2,28,13,10,53
2,32,14,21,69,5,35,15,10,65
3,24,16,8,51,1,17,9,13,40
1,32,10,19,62,4,26,10,7,47
1,23,13,13,50,4,24,11,11,50
4,25,22,17,68,2,27,13,18,60
3,23,10,20,56,1,36,13,20,70
2,21,11,16,50,1,26,10,22,59
5,24,12,23,64,3,29,18,21,71
6,27,7,17,57,0,30,4,20,54
1,31,22,16,70,2,26,9,17,54
2,39,18,13,72,3,30,14,13,60
6,30,13,18,67,2,21,15,17,55
2,23,17,19,61,1,24,6,15,46
1,31,8,12,52,2,39,15,13,69
1,29,13,3,46,3,16,1,9,29
3,40,20,13,76,3,45,6,16,70
5,29,14,12,60,3,35,8,19,65
6,24,11,11,52,3,30,11,19,63
2,30,13,14,59,3,19,9,12,43
2,31,9,17,59,3,21,7,13,44
3,20,9,14,46,2,27,8,21,58
2,31,11,12,56,5,28,6,13,52
2,33,15,12,62,2,25,14,23,64
4,21,9,13,47,2,25,15,17,59
6,29,11,11,57,3,26,9,16,54
0,35,20,28,83,4,27,6,12,49
4,22,6,12,44,1,27,12,12,52
1,21,12,22,56,2,20,14,12,48
1,33,17,20,71,4,25,10,15,54
4,30,8,18,60,5,28,7,10,50
3,26,8,17,54,4,23,9,6,42
3,23,3,5,34,2,38,15,19,74
1,27,16,11,55,5,16,6,16,43
2,28,7,18,55,3,27,10,21,61
3,28,18,10,59,2,13,8,14,37
2,32,16,27,77,3,20,12,13,48
6,21,15,7,49,3,33,16,25,77
4,21,18,17,60,2,18,16,17,53
2,30,15,11,58,2,28,9,14,53
2,29,10,24,65,4,26,7,8,45
2,34,9,22,67,5,35,7,22,69
2,32,23,15,72,3,19,9,8,39
1,33,8,18,60,2,28,9,14,53
2,41,16,22,81,3,28,12,14,57
4,26,14,12,56,3,24,9,13,49
6,30,11,18,65,0,19,8,17,44
4,26,10,11,51,2,26,11,10,49
5,21,10,8,44,1,32,20,14,67
2,32,8,14,56,4,22,4,13,43
1,23,9,23,56,2,23,10,12,47
1,17,10,7,35,6,24,4,2,36
4,22,17,14,57,6,26,16,12,60
4,22,13,16,55,1,33,9,20,63
1,39,16,22,78,2,29,11,14,56
2,30,8,23,63,4,31,16,8,59
4,36,18,32,90,2,16,15,11,44
3,30,17,17,67,3,24,8,13,48
4,47,11,16,78,5,27,8,10,50
3,34,9,12,58,1,37,20,18,76
1,47,15,19,82,2,21,7,10,40
1,27,16,18,62,1,31,8,12,52
5,24,17,8,54,1,21,16,18,56
2,34,9,11,56,4,22,13,13,52
2,25,13,13,53,1,34,11,22,68
3,34,16,20,73,3,21,22,11,57
5,27,6,13,51,3,32,19,20,74
4,24,10,20,58,3,30,10,18,61
0,42,15,17,74,1,32,2,7,42
2,21,13,23,59,4,27,10,12,53
0,31,13,16,60,3,19,9,14,45
3,33,16,13,65,3,24,11,10,48
2,28,16,18,64,2,33,11,7,53
3,31,13,11,58,2,24,11,23,60
3,23,4,12,42,0,37,18,20,75
3,28,9,16,56,2,32,11,11,56
4,26,15,8,53,3,29,13,15,60
2,30,11,10,53,3,25,12,18,58
3,31,19,16,69,2,36,14,19,71
3,32,9,20,64,2,23,5,8,38
6,25,6,7,44,2,26,14,13,55
1,29,12,18,60,2,23,11,15,51
0,30,11,26,67,3,13,6,15,37
2,25,5,13,45,3,28,19,14,64
1,18,11,20,50,3,20,10,8,41
