Sum of home r,Sum of away r
-2.6735070932281787e-11,-3.201106375825783e-11
-1.098597214928016e-11,-3.639785447582439e-12
1.4524065808276929e-11,1.979387495211905e-12
6.444018980227039e-11,1.979387495211905e-12
-7.785232471603763e-12,-1.2061928068294807e-11
1.4283663268550675e-11,3.2724022809448212e-12
1.4283663268550675e-11,3.2724022809448212e-12
1.4524065808276929e-11,-1.2061928068294807e-11
2.6856920525772105e-11,7.947539985755903e-14
-3.84079801646997e-11,-2.0476436200741433e-11
-3.84079801646997e-11,-2.0476436200741433e-11
8.20426885112412e-12,-3.201106375825783e-11
8.38980658123853e-12,-2.4457900616983564e-12
1.6259762439559805e-11,-1.0162015972940461e-11
1.6259762439559805e-11,-1.0162015972940461e-11
-7.544829931877509e-12,7.947539985755903e-14
3.725983847818128e-11,3.0897585401151435e-12
-7.785232471603763e-12,-2.3588921137545463e-11
-1.098597214928016e-11,-2.1273566532039337e-11
1.4283663268550675e-11,2.0984045577458705e-12
-7.544829931877509e-12,7.947539985755903e-14
-7.544829931877509e-12,-1.7398733522280928e-12
4.581549368215823e-11,-9.037681140021361e-12
4.581549368215823e-11,-9.037681140021361e-12
9.939965482406994e-12,-1.8759289245202227e-11
9.031087351162965e-12,-3.201106375825783e-11
-2.259781874381386e-11,-3.106429486109187e-11
-3.0623809674311963e-12,-3.362623816597661e-12
-2.839313329109133e-12,-6.46598924379645e-12
-8.936781441696708e-12,-3.2389070479141394e-11
-3.3493145721271204e-12,-1.870028349988136e-12
-1.071788586450272e-11,-5.8438145002313174e-12
-6.460896960597499e-12,-7.939055868598687e-12
-3.0623809674311963e-12,-3.2389070479141394e-11
-1.7997685940366286e-11,-5.0637534300321444e-12
-3.0623809674311963e-12,-3.3914318396711544e-11
1.7722372057228197e-13,-3.507739838116933e-11
-3.714981019079934e-12,-5.992642943353952e-12
2.5126552810000402e-12,-5.992642943353952e-12
-2.259781874381386e-11,-7.91377696565182e-12
-2.259781874381386e-11,-7.91377696565182e-12
-2.259781874381386e-11,-7.91377696565182e-12
2.5126552810000402e-12,-6.047746906365707e-12
-1.2466801811535748e-11,-5.126002809779852e-13
-1.2466801811535748e-11,-4.544855221498582e-12
-7.841429289600133e-12,-3.2389070479141394e-11
-3.0623809674311963e-12,-3.8958817717214106e-13
-2.839313329109133e-12,-4.544855221498582e-12
-1.7245850133704686e-11,-5.118857393043899e-12
-2.259781874381386e-11,-3.3914318396711544e-11
7.291703603168977e-12,-2.01549196584511e-12
-2.839313329109133e-12,-5.0637534300321444e-12
-8.936781441696708e-12,-8.842666478973628e-12
-8.936781441696708e-12,-8.842666478973628e-12
-1.3193397899709306e-11,-1.892479862039266e-12
7.291703603168977e-12,-1.517814740427433e-11
-2.259781874381386e-11,-1.892479862039266e-12
-2.259781874381386e-11,-1.892479862039266e-12
-3.0623809674311963e-12,-7.91377696565182e-12
-3.0623809674311963e-12,-3.3914318396711544e-11
-2.839313329109133e-12,-3.2389070479141394e-11
-1.4069065589680107e-11,-1.892479862039266e-12
-7.796610727599967e-13,-5.992642943353952e-12
-4.3614472732502103e-13,-7.517890860924102e-12
-1.7272192860481877e-11,-3.244417444215315e-11
-7.841429289600133e-12,-5.118857393043899e-12
-7.841429289600133e-12,-5.118857393043899e-12
-2.259781874381386e-11,-1.892479862039266e-12
-8.936781441696708e-12,-7.91377696565182e-12
-8.936781441696708e-12,-7.91377696565182e-12
-2.259781874381386e-11,-1.892479862039266e-12
-5.132904644086493e-12,-1.892479862039266e-12
-4.7211440882182425e-12,-5.126002809779852e-13
-1.678386311767914e-12,-2.768344855894334e-12
-1.678386311767914e-12,-2.9306632355204326e-12
9.077557310408198e-12,-2.7120628027194835e-12
1.9172975174298705e-12,3.457814893493251e-12
