Sum of home r,Sum of away r
-1.1007364461771458e-11,2.7750987794548404e-12
-1.1007364461771458e-11,2.7750987794548404e-12
-1.1190044098295724e-11,6.540989802369104e-13
-1.0689450961316555e-11,2.7273556086171137e-12
-2.0906904675472054e-13,4.272691101493862e-11
1.4193392777066935e-11,1.0861581734930384e-11
5.888130568839297e-12,4.413937527077222e-11
-2.397524210148755e-12,3.105255727847284e-11
1.2203597032346377e-11,1.5162470727703685e-11
3.152134925994666e-12,2.31471113753069e-11
3.152134925994666e-12,2.31471113753069e-11
1.243382705867233e-11,2.31471113753069e-11
4.79589778629114e-13,1.5162470727703685e-11
1.683219803743346e-11,1.1162170402956217e-11
2.7043750933619627e-12,1.0054378644739893e-11
1.1718772620553404e-11,4.0295609111292496e-11
1.4193392777066935e-11,4.182097551056407e-11
-6.311980297775798e-13,2.0496539871155013e-12
1.0104666834974245e-11,4.645903786530753e-11
3.832219266896645e-12,1.8810565915041046e-11
2.1939471500544866e-11,4.729835065125452e-11
8.822418193357722e-12,4.645903786530753e-11
5.8566824847938094e-12,4.0869080269945555e-12
9.970521148834717e-13,-1.0467276052019288e-12
2.082893390989603e-12,-3.4526264569140735e-12
-2.1118067780054766e-11,7.40486553931127e-12
-2.0512779084954794e-10,-8.874325648384205e-14
-1.8565447260993548e-10,-1.5520373052815677e-11
-5.64413109543403e-13,4.5670561334524315e-12
-1.4580220927953045e-11,4.5670561334524315e-12
-3.766573070466414e-11,5.091195498531083e-13
-6.494618183754927e-13,3.800262426709118e-13
-1.9748212234150795e-10,-8.17777865262856e-12
-1.2594350611233939e-12,-1.529875696079987e-11
-1.5699537884858927e-11,4.530886902279969e-12
-4.8529701002946525e-12,-1.2241808246925881e-12
-3.1159149560663554e-12,-1.6822081816006494e-12
9.970521148834717e-13,4.5670561334524315e-12
-3.508878260689493e-11,-6.621931497573523e-12
1.4540200739201162e-11,4.5670561334524315e-12
-3.397339176744885e-11,-8.17777865262856e-12
-3.325659043621396e-11,-8.17777865262856e-12
-3.397339176744885e-11,-1.9082738606140392e-12
-3.397339176744885e-11,-8.17777865262856e-12
1.2283713563194297e-11,4.5670561334524315e-12
4.011802985160853e-12,4.389602913961772e-12
-2.0646625179384958e-11,8.377651976506303e-12
-1.4580220927953045e-11,4.4271991438698144e-14
6.737044323679231e-12,-4.074131789917475e-12
-9.474622649280535e-11,-9.589945739975746e-13
1.8039018593011531e-12,-2.4902472310352907e-11
2.5183004663952658e-11,-2.818021797815505e-12
2.5183004663952658e-11,-2.818021797815505e-12
1.8039018593011531e-12,-9.589945739975746e-13
2.5183004663952658e-11,2.844196353718436e-12
-5.116642965904893e-12,-2.7176038507925034e-11
2.5183004663952658e-11,-2.818021797815505e-12
1.9883747759013545e-11,-2.2495804409793518e-13
1.8261393903421952e-13,-2.4902472310352907e-11
-9.555120692407632e-11,2.971154181043959e-13
8.570756320336446e-13,1.5880863616164654e-12
-5.116642965904893e-12,-5.091587995387632e-12
-5.116642965904893e-12,-5.091587995387632e-12
2.478363552300578e-12,-3.5951460450149575e-12
-1.0004548339774446e-10,-2.818021797815505e-12
1.3725298746956467e-12,-3.736141989403287e-12
2.3999900069409434e-11,-1.867190174139519e-12
1.9883747759013545e-11,-2.818021797815505e-12
-9.312197563471884e-11,1.4204431283198143e-13
-9.595369835351002e-11,2.971154181043959e-13
2.7378786735211745e-11,-4.074131789917475e-12
-1.0061517340375289e-11,3.1027046592583248e-12
-9.079071170043179e-12,-6.706936217920019e-12
-9.079071170043179e-12,-6.706936217920019e-12
-9.079071170043179e-12,-9.153141422800742e-12
2.4351005528508086e-11,3.1027046592583248e-12
-1.0093679889925595e-11,-2.358893997518763e-11
0.0,-4.354775275192819e-14
2.052786610307558e-12,-2.6327527033532844e-11
2.613863148122113e-11,-1.344305581921359e-11
1.3802229838458559e-11,3.762877392158024e-12
1.3802229838458559e-11,3.762877392158024e-12
-3.98590147458481e-11,-1.344305581921359e-11
5.000237866005498e-11,-1.1232956457249671e-11
1.8582182028506133e-12,3.5331619307076886e-12
4.7407990500761795e-11,-1.278288308631389e-11
-1.0061517340375289e-11,-1.5854751701842185e-11
-4.1295914856971314e-13,-1.7090172542042368e-11
-4.1295914856971314e-13,-1.7090172542042368e-11
2.084949159857864e-12,-2.6327527033532844e-11
-9.079071170043179e-12,-3.5567071729667017e-12
-4.1295914856971314e-13,-5.8924888324138815e-12
2.5482509763806864e-11,-1.2468377297449853e-11
5.000237866005498e-11,-1.55214701446591e-11
2.084949159857864e-12,-1.2468377297449853e-11
-3.98590147458481e-11,1.0242903338128146e-12
-1.0093679889925595e-11,-1.278288308631389e-11
-1.0061517340375289e-11,1.552778030194106e-12
-1.0061517340375289e-11,-8.796944486613815e-12
-1.0061517340375289e-11,5.312804021222244e-12
2.495327888579985e-11,-5.0813846174467656e-12
1.9676713285398136e-11,-3.4616930768291776e-12
2.29715910149099e-11,-1.0897623198174082e-11
2.51800098428071e-11,-7.49308050007536e-12
1.3955176787751889e-12,6.833692571762183e-12
-4.169458221301608e-12,6.111754283540153e-12
-2.376977824591435e-12,-1.3655121497011525e-11
6.74750664006853e-13,3.849304612939287e-12
-3.367511754686272e-12,6.196713560066104e-13
2.4123882629027346e-11,-1.06046820225965e-12
-8.680861787984105e-13,6.050755807210558e-13
-3.453148214783552e-12,-1.1547523592316093e-11
-4.799116680632592e-13,-2.7727978485996406e-12
2.2490578387186083e-11,6.825270618855888e-12
2.4534643585220916e-11,4.719319211955195e-12
-1.2719580260848226e-13,4.477370890675036e-12
2.4534643585220916e-11,-2.277442447343593e-13
6.74750664006853e-13,7.293755068236362e-12
-4.3112247648986596e-12,8.865004929913994e-12
8.02519616964809e-13,6.864731764803789e-14
2.3676567035105808e-11,1.361311195259781e-13
-6.4547282384947845e-12,-5.728079255734182e-12
-7.310441276684148e-12,-3.714740155732262e-12
-3.382561475892326e-13,-7.76362560783744e-12
-6.790258254271352e-13,1.3387060220617157e-12
-6.790258254271352e-13,1.3387060220617157e-12
-6.440615830432694e-11,-3.125438223090026e-12
-6.255093794907061e-11,-3.125438223090026e-12
1.4839600402511669e-12,7.440316495438298e-13
-5.698532281811012e-11,-2.978535192476773e-12
-5.863901319910411e-11,-3.285735891376881e-12
-5.561175698739163e-11,3.3222094381938756e-14
1.1039420953267636e-13,-6.326689640115488e-12
1.1039420953267636e-13,-6.326689640115488e-12
1.0353096831292578e-12,-6.75281880719724e-13
-6.7928766258113144e-12,-1.072656908220697e-12
-6.7928766258113144e-12,-1.072656908220697e-12
-1.923360330026872e-12,-5.6205530217279975e-12
-6.440615830432694e-11,4.3639087797940515e-12
